name,album,artist,mood
1999,1999,Prince,Happy
23,23,Blonde Redhead,Sad
9 Crimes,9,Damien Rice,Sad
99 Luftballons,99 Luftballons,Nena,Happy
A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,Underoath,Surprise
A Burden to Bear,A Burden to Bear,Emmanuelle Rimbaud,Calm
A La Plage,A La Plage,Ron Adelaar,Calm
A Little Less Conversation - JXL Radio Edit Remix,Elvis 75 - Good Rockin' Tonight,Elvis Presley,Happy
A Place for My Head,Hybrid Theory (Bonus Edition),Linkin Park,Surprise
ATTACK,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,Surprise
Adagio For Strings,Adagio For Strings,Lucas & Steve,Surprise
Adjustments,Adjustments,Josie Mehlin,Calm
Adrift,Adrift,Cooper Sams,Calm
Afraid of Heights,Afraid of Heights,Billy Talent,Surprise
Africa,Toto IV,TOTO,Happy
After The Rain,After The Rain,Comet Blue,Calm
Afterlife,Avenged Sevenfold,Avenged Sevenfold,Surprise
Algo Rhythm,Temporär Musik 1-13,One Sentence. Supervisor,Sad
Alison,Souvlaki,Slowdive,Sad
Alive,Alive,Paris Blohm,Surprise
All I Want,The Kodaline EP,Kodaline,Sad
All Mirrors,All Mirrors,Angel Olsen,Sad
All These Things I Hate (Revolve Around Me),The Poison,Bullet For My Valentine,Surprise
All in the Suit That You Wear,Thank You,Stone Temple Pilots,Surprise
All of Me,Love In The Future (Expanded Edition),John Legend,Sad
All or Nothing (feat. Axel Ehnström) - Deluxe Mix,Less is More (Deluxe),Lost Frequencies,Happy
Always,Back Into Your System,Saliva,Surprise
Ambre,Wintermusik,Nils Frahm,Calm
Anaviosi,Anaviosi,Alexi Musnitsky,Calm
Anchor,Anchor,Novo Amor,Sad
Andromeda,Andromeda,Weyes Blood,Sad
Angel's Song,Angel's Song,Arlo Parks,Sad
Angry Chair,The Essential Alice In Chains,Alice In Chains,Surprise
Anthem,Anthem,EDX,Happy
Anthem of Our Dying Day,Page Avenue (US Non-PA Version),Story Of The Year,Surprise
Are You Gonna Be My Girl,Get Born,Jet,Happy
As I Sleep (feat. Charlee),As I Sleep (feat. Charlee),Tobtok,Surprise
Ashes to Ashes,Ashes to Ashes,Warpaint,Sad
Atlavík,Varða,Hugar,Calm
Auburn Sky,Auburn Sky,Toledo Rains,Calm
Awaken,Awaken,William Duhamel,Calm
Away From Me,Life On Display,Puddle Of Mudd,Surprise
Back Where I Belong (feat. Avicii),Back Where I Belong (feat. Avicii),Otto Knows,Surprise
Back+,Back+,Ton Snijders,Calm
Bad Feeling,Bad Feeling,Muzz,Sad
Bad Kingdom,Gold,May,Sad
Bad Timing,Bad Timing,Arlo Day,Sad
Ballad of the Dying Man,Ballad of the Dying Man,Father John Misty,Sad
Balloon,Balloon,YuMe,Calm
Bat Country,City of Evil,Avenged Sevenfold,Surprise
Bayybe 07,Bayybe,Bilo 503,Calm
Be My Mistake,A Brief Inquiry Into Online Relationships,The 1975,Sad
Beautiful Life,Beautiful Life,Lost Frequencies,Happy
Beautiful Night,Burden Brothers EP,Burden Brothers,Surprise
Beekweide,Beekweide,Job Roggeveen,Calm
Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,Sad
Bennie And The Jets - Remastered 2014,Goodbye Yellow Brick Road (40th Anniversary Celebration/ Super Deluxe Edition),Elton John,Happy
Better Than Today,Better Than Today,Rhys Lewis,Sad
Better Together,In Between Dreams,Jack Johnson,Happy
Betty,Betty,Wilson Trouvé,Calm
Billinghurst,Damon EP,Jeremy Olander,Surprise
Bird,Writing of Blues and Yellows (Deluxe Version),Billie Marten,Sad
Bison on the Plains,Bison on the Plains,Grandaddy,Sad
Black Car,Black Car,Beach House,Sad
Blackout,Blackout,(Hed) P.E.,Surprise
Blame,Blame,Manse,Surprise
Blaster,Blaster,Marc Benjamin,Surprise
Bleed American,Bleed American,Jimmy Eat World,Surprise
Bloodbuzz Ohio,Bloodbuzz Ohio,SOAK,Sad
Bloom,Bloom,Hilder Sky,Calm
Bloom Innocent,Bloom Innocent,Fink,Sad
Blow,Blow,Yves V,Happy
Body Rock,Body Rock,Bingo Players,Happy
Boiler,Chocolate Starfish And The Hot Dog Flavored Water (Explicit Version),Limp Bizkit,Surprise
Bortom Träden,I Blomstertid,Erik Reno,Calm
Bottom Of The Sea,Bottom Of The Sea,Isaac Elton,Happy
Bottom of a Bottle,Shapeshifter,Smile Empty Soul,Surprise
Bouquet with Lilies,Bouquet with Lilies,La Acacia,Calm
Break Stuff,Significant Other (Explicit),Limp Bizkit,Surprise
Breathe,Breathe,Hans Voller,Calm
Breathe Me,Colour The Small One,Sia,Sad
Brimful of Asha - Norman Cook Remix,Why Try Harder - Greatest Hits,Fatboy Slim,Happy
Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,Sad
Butterfly,The Gift Of Game,Crazy Town,Happy
Bye Bye Little House,Bye Bye Little House,Ella van der Woude,Calm
California Dreamin',If You Can Believe Your Eyes And Ears,The Mamas & The Papas,Happy
Calm Wilderness,Calm Wilderness,Night Sounds,Calm
Car Underwater,What To Do When You Are Dead,Armor For Sleep,Surprise
Chariot,B-Sides and Rarities,Beach House,Sad
Children Of Today,Children Of Today,Blasterjaxx,Surprise
Chocolate,The 1975,The 1975,Happy
Chop Suey!,Toxicity,System Of A Down,Surprise
City Lights,City Lights,Marlies du Mosch,Calm
Clap Your Hands,Clap Your Hands,Sia,Happy
Cleansing,Cleansing,Jacco Wynia,Calm
Clear Skies,Clear Skies,Dhyana Thomas,Calm
Click Click Boom,Every Six Seconds,Saliva,Surprise
Coda,Endeavour,Jakob Ahlbom,Calm
Cold Arms,Wilder Mind,Mumford & Sons,Sad
Cold Nights,Cold Nights,Camo Columbo,Sad
Cold as Stone (feat. Charlotte Lawrence) - Lipless Remix,Cold as Stone (Remixes) (feat. Charlotte Lawrence),Kaskade,Surprise
Colgando,Siesta,Barulinho,Calm
Collapse Into Light,Collapse Into Light,Evin Iris,Calm
Come On Eileen,Too Rye Ay (Deluxe Edition),Dexys Midnight Runners,Happy
Come Out And Play (Keep ?Em Separated),Greatest Hits,The Offspring,Surprise
Coming Home,Coming Home,Zoe Connelly,Calm
Coming Undone,Coming Undone,Korn,Surprise
Consequences,Camila,Camila Cabello,Sad
Conversation,Conversation,Lucy Rose,Sad
Count On You - ATFC's C-thru Remix,Count On You (ATFC's C-thru Remix),Autoerotique,Happy
